R burn per order,Priority 1
month,Priority
1,1284.255079006772
2,782.448275862069
3,1493.7312954253955
4,1673.1221140628943
5,1710.519730105805
6,1793.5125920512676
7,1675.1894600207684
8,1716.0459320491057
9,1732.1148537711647
