Country,Priority,Month,ChangeTo,# Rs
CR,Priority 5,july,Priority 4,9
CR,Priority 5,july,Priority 2,2
CR,Priority 5,july,Priority 1,1
CR,Priority 5,august,Stays,1294
CR,Priority 5,august,Priority 4,2
CR,Priority 5,august,No Registered,2
CR,Priority 5,august,Priority 2,1
CR,Priority 5,august,Priority 3,1
CR,Priority 3,may,Priority 5,43
CR,Priority 3,may,Stays,2
CR,Priority 3,may,Priority 4,1
CR,Priority 3,may,Priority 2,2
CR,Priority 3,june,Stays,34
CR,Priority 3,june,Priority 5,9
CR,Priority 3,june,Priority 4,3
CR,Priority 3,july,Stays,31
CR,Priority 3,july,Priority 4,9
CR,Priority 3,july,Priority 6,12
CR,Priority 3,july,Priority 2,4
CR,Priority 3,august,Stays,55
CR,Priority 3,april,Stays,5
CR,Priority 3,april,Priority 4,1
CR,Priority 2,april,Stays,37
CR,Priority 2,april,Priority 4,17
CR,Priority 2,april,Priority 3,2
CR,Priority 2,april,Priority 5,5
CR,Priority 2,april,Priority 1,3
CR,Priority 2,may,Stays,47
CR,Priority 2,may,Priority 1,1
CR,Priority 2,may,Priority 5,4
CR,Priority 2,may,Priority 3,2
CR,Priority 2,may,Priority 4,2
CR,Priority 2,june,Stays,44
CR,Priority 2,june,Priority 5,5
CR,Priority 2,june,Priority 1,3
CR,Priority 2,june,Priority 4,4
CR,Priority 2,june,Priority 3,4
CR,Priority 2,july,Stays,39
CR,Priority 2,july,Priority 4,9
CR,Priority 2,july,Priority 1,4
CR,Priority 2,july,Priority 6,4
CR,Priority 2,july,Priority 3,5
CR,Priority 2,july,No Registered,1
CR,Priority 2,august,Stays,55
CR,Priority 2,august,Priority 4,3
CR,Priority 2,august,Priority 6,3
CR,No Registered,april,Priority 5,90
CR,No Registered,april,Stays,14
CR,No Registered,may,Stays,95
CR,No Registered,june,Stays,95
CR,No Registered,july,Stays,93
CR,No Registered,july,Priority 2,1
CR,No Registered,july,Priority 4,1
CR,No Registered,august,Stays,92
CR,Priority 1,april,Stays,26
CR,Priority 1,april,Priority 4,1
CR,Priority 1,may,Stays,26
CR,Priority 1,may,Priority 4,2
CR,Priority 1,may,Priority 2,2
CR,Priority 1,june,Stays,27
CR,Priority 1,june,Priority 4,3
CR,Priority 1,june,Priority 2,3
CR,Priority 1,july,Stays,28
CR,Priority 1,july,Priority 2,6
CR,Priority 1,july,Priority 4,4
CR,Priority 1,july,Priority 3,1
CR,Priority 1,august,Stays,39
CR,Priority 1,august,Priority 2,1
CR,Priority 4,april,Priority 5,12
CR,Priority 4,april,Stays,40
CR,Priority 4,april,Priority 2,11
CR,Priority 4,april,Priority 1,3
CR,Priority 4,april,Priority 3,2
CR,Priority 4,may,Priority 5,12
CR,Priority 4,may,Stays,51
CR,Priority 4,may,Priority 2,5
CR,Priority 4,may,No Registered,1
CR,Priority 4,june,Stays,41
CR,Priority 4,june,Priority 5,11
CR,Priority 4,june,Priority 3,2
CR,Priority 4,june,Priority 2,4
CR,Priority 4,august,Priority 2,5
CR,Priority 4,august,Stays,30
CR,Priority 4,august,Priority 6,23
CR,Priority 4,august,No Registered,1
CR,Priority 4,july,Stays,23
CR,Priority 4,july,Priority 6,4
CR,Priority 4,july,Priority 2,7
CR,Priority 4,july,No Registered,1
CR,Priority 6,june,Priority 4,4
CR,Priority 6,june,Priority 2,3
CR,Priority 6,june,Priority 5,13
CR,Priority 6,july,Priority 4,3
CR,Priority 6,july,Priority 3,5
CR,Priority 6,july,Priority 5,17
CR,Priority 6,july,Priority 2,1
CO,Priority 5,april,Stays,8046
CO,Priority 5,april,Priority 4,44
CO,Priority 5,april,No Registered,61
CO,Priority 5,april,Priority 2,45
CO,Priority 5,april,Priority 3,36
CO,Priority 5,may,Stays,8090
CO,Priority 5,may,Priority 4,113
CO,Priority 5,may,No Registered,36
CO,Priority 5,may,Priority 2,37
CO,Priority 5,may,Priority 3,19
CO,Priority 5,june,Stays,8125
CO,Priority 5,june,Priority 2,50
CO,Priority 5,june,Priority 4,61
CO,Priority 5,june,Priority 3,6
CO,Priority 5,july,Stays,8210
CO,Priority 5,july,Priority 2,44
CO,Priority 5,july,Priority 4,52
CO,Priority 5,july,Priority 1,8
CO,Priority 5,july,Priority 3,8
CO,Priority 5,july,Priority 6,1
CO,Priority 5,august,Stays,8312
CO,Priority 5,august,Priority 4,10
CO,Priority 5,august,Priority 2,15
CO,Priority 5,august,Priority 3,1
CO,Priority 5,august,No Registered,1
CO,Priority 5,august,Priority 1,1
CO,Priority 2,may,Priority 5,56
CO,Priority 2,may,Stays,269
CO,Priority 2,may,Priority 1,15
CO,Priority 2,may,Priority 4,37
CO,Priority 2,may,No Registered,7
CO,Priority 2,may,Priority 3,1
CO,Priority 2,june,Stays,270
CO,Priority 2,june,Priority 4,70
CO,Priority 2,june,Priority 3,6
CO,Priority 2,june,Priority 1,15
CO,Priority 2,june,Priority 5,34
CO,Priority 2,august,No Registered,10
CO,Priority 2,august,Stays,343
CO,Priority 2,august,Priority 4,37
CO,Priority 2,august,Priority 6,2
CO,Priority 2,august,Priority 3,3
CO,Priority 2,july,Stays,235
CO,Priority 2,july,Priority 6,22
CO,Priority 2,july,Priority 3,36
CO,Priority 2,july,Priority 4,39
CO,Priority 2,july,No Registered,17
CO,Priority 2,july,Priority 1,27
CO,Priority 2,april,Stays,182
CO,Priority 2,april,Priority 4,111
CO,Priority 2,april,Priority 1,17
CO,Priority 2,april,Priority 5,81
CO,Priority 2,april,Priority 3,14
CO,Priority 2,april,No Registered,2
CO,No Registered,april,Stays,92
CO,No Registered,april,Priority 5,555
CO,No Registered,may,Stays,597
CO,No Registered,june,Stays,597
CO,No Registered,july,Stays,572
CO,No Registered,august,Stays,554
CO,No Registered,august,Priority 5,9
CO,No Registered,august,Priority 1,6
CO,No Registered,august,Priority 4,2
CO,No Registered,august,Priority 3,1
CO,No Registered,august,Priority 2,2
CO,Priority 1,april,Priority 4,5
CO,Priority 1,april,Stays,103
CO,Priority 1,april,Priority 2,8
CO,Priority 1,april,Priority 3,1
CO,Priority 1,may,Stays,100
CO,Priority 1,may,Priority 2,16
CO,Priority 1,may,Priority 4,4
CO,Priority 1,june,Stays,104
CO,Priority 1,june,Priority 2,24
CO,Priority 1,june,Priority 4,25
CO,Priority 1,june,Priority 3,1
CO,Priority 1,june,Priority 5,5
CO,Priority 1,july,Stays,115
CO,Priority 1,july,Priority 2,39
CO,Priority 1,july,Priority 4,21
CO,Priority 1,july,Priority 3,12
CO,Priority 1,july,Priority 6,2
CO,Priority 1,august,Stays,182
CO,Priority 1,august,Priority 4,2
CO,Priority 1,august,Priority 2,4
CO,Priority 4,may,Priority 1,2
CO,Priority 4,may,Stays,185
CO,Priority 4,may,Priority 2,81
CO,Priority 4,may,Priority 5,83
CO,Priority 4,may,Priority 3,3
CO,Priority 4,may,No Registered,7
CO,Priority 4,june,Priority 5,86
CO,Priority 4,june,Priority 2,32
CO,Priority 4,june,Stays,152
CO,Priority 4,june,Priority 1,1
CO,Priority 4,july,Priority 2,57
CO,Priority 4,july,Priority 6,40
CO,Priority 4,july,Stays,128
CO,Priority 4,july,No Registered,8
CO,Priority 4,july,Priority 1,7
CO,Priority 4,july,Priority 3,8
CO,Priority 4,august,Stays,197
CO,Priority 4,august,Priority 6,51
CO,Priority 4,august,Priority 2,12
CO,Priority 4,august,No Registered,7
CO,Priority 4,august,Priority 3,2
CO,Priority 4,april,Priority 5,99
CO,Priority 4,april,Stays,182
CO,Priority 4,april,Priority 2,41
CO,Priority 4,april,No Registered,9
CO,Priority 4,april,Priority 3,10
CO,Priority 4,april,Priority 1,2
CO,Priority 3,july,Priority 4,16
CO,Priority 3,july,Priority 6,7
CO,Priority 3,july,Stays,35
CO,Priority 3,july,Priority 5,9
CO,Priority 3,july,Priority 2,15
CO,Priority 3,august,Stays,75
CO,Priority 3,august,Priority 5,2
CO,Priority 3,may,Priority 5,3
CO,Priority 3,may,Stays,74
CO,Priority 3,may,Priority 4,4
CO,Priority 3,may,Priority 2,4
CO,Priority 3,april,Stays,69
CO,Priority 3,april,Priority 2,4
CO,Priority 3,april,Priority 5,24
CO,Priority 3,june,Stays,71
CO,Priority 3,june,Priority 5,7
CO,Priority 3,june,Priority 4,27
CO,Priority 3,june,Priority 2,2
CO,Priority 6,june,Priority 5,38
CO,Priority 6,june,Priority 4,26
CO,Priority 6,june,Priority 2,7
CO,Priority 6,june,Priority 3,1
CO,Priority 6,july,Priority 5,23
CO,Priority 6,july,Priority 1,2
CO,Priority 6,july,Priority 3,8
CO,Priority 6,july,Priority 4,15
CO,Priority 6,july,Priority 2,5
PE,Priority 5,april,Stays,1601
PE,Priority 5,april,Priority 3,21
PE,Priority 5,april,Priority 2,25
PE,Priority 5,april,No Registered,15
PE,Priority 5,april,Priority 4,3
PE,Priority 5,may,Stays,1627
PE,Priority 5,may,Priority 3,17
PE,Priority 5,may,Priority 2,30
PE,Priority 5,may,Priority 4,45
PE,Priority 5,may,No Registered,11
PE,Priority 5,june,Stays,1680
PE,Priority 5,june,Priority 2,53
PE,Priority 5,june,Priority 1,2
PE,Priority 5,june,Priority 4,14
PE,Priority 5,june,Priority 3,2
PE,Priority 5,july,Stays,1740
PE,Priority 5,july,Priority 4,9
PE,Priority 5,july,Priority 1,2
PE,Priority 5,july,Priority 2,15
PE,Priority 5,july,Priority 3,6
PE,Priority 5,august,Stays,1771
PE,Priority 5,august,Priority 3,1
PE,Priority 5,august,Priority 2,2
PE,Priority 5,august,Priority 4,1
PE,Priority 2,april,Priority 5,48
PE,Priority 2,april,Priority 3,6
PE,Priority 2,april,Stays,60
PE,Priority 2,april,Priority 4,13
PE,Priority 2,april,Priority 1,9
PE,Priority 2,may,Stays,82
PE,Priority 2,may,Priority 1,7
PE,Priority 2,may,Priority 5,28
PE,Priority 2,may,No Registered,6
PE,Priority 2,may,Priority 3,7
PE,Priority 2,may,Priority 4,24
PE,Priority 2,june,Stays,68
PE,Priority 2,june,Priority 4,8
PE,Priority 2,june,Priority 5,7
PE,Priority 2,june,Priority 1,7
PE,Priority 2,june,Priority 3,1
PE,Priority 2,july,Stays,59
PE,Priority 2,july,Priority 1,15
PE,Priority 2,july,Priority 4,15
PE,Priority 2,july,Priority 3,12
PE,Priority 2,july,Priority 5,1
PE,Priority 2,july,Priority 6,9
PE,Priority 2,july,No Registered,2
PE,Priority 2,august,Stays,106
PE,Priority 2,august,Priority 5,1
PE,Priority 2,august,Priority 4,6
PE,Priority 2,august,Priority 6,3
PE,Priority 2,august,No Registered,4
PE,Priority 1,april,Priority 2,8
PE,Priority 1,april,Stays,33
PE,Priority 1,april,Priority 3,1
PE,Priority 1,april,Priority 4,1
PE,Priority 1,may,Stays,35
PE,Priority 1,may,Priority 4,1
PE,Priority 1,may,Priority 2,6
PE,Priority 1,june,Priority 3,1
PE,Priority 1,june,Stays,32
PE,Priority 1,june,Priority 2,7
PE,Priority 1,june,Priority 4,8
