Daily online hours,Priority 3
month,Priority
1,38525.3619534052
2,17259.31600574715
3,7257.573682795677
4,5598.212027777782
5,12442.148369175622
6,12959.81787962967
7,14518.569112903248
8,14020.415770609348
9,13691.288407407446
