Daily orders,Priority 3
month,Priority
1,11598.32258064516
2,9784.103448275862
3,1022.258064516129
4,654.8333333333334
5,1368.6774193548388
6,1954.2666666666669
7,1951.032258064516
8,2035.935483870968
9,2103.1
