Aop,Priority 3
month,Priority
1,260.26559357860424
2,228.8464215000405
3,294.13654812243607
4,288.95017561720533
5,285.26751160762683
6,281.8481319506038
7,277.5034311034688
8,283.32134328358205
9,280.88121011839667
