Ted per order,Priority 3
month,Priority
1,44.01169396019447
2,36.928891868935885
3,43.82930325023666
4,49.31541257317384
5,47.12496335053855
6,61.37005645766528
7,61.34399408088357
8,67.15959993028488
9,66.73550473111122
