R burn gmv,Priority 3
month,Priority
1,0.0888230552199847
2,0.097657943611087
3,0.0825864884651319
4,0.0952214317522528
5,0.0911168198278609
6,0.1319414651594698
7,0.1329211023524139
8,0.1409968699759754
9,0.1427050057610954
