B cancel rate,Priority 3
month,Priority
1,0.029544657246631
2,0.0294855252274607
3,0.0388378210622764
4,0.0439278937381404
5,0.0464282610584861
6,0.0392250505436426
7,0.0478544078836971
8,0.0407641418271017
9,0.0404686463783066
