R burn per order,Priority 3
month,Priority
1,23.11758519029448
2,22.34867092645001
3,24.291704638687285
4,27.5142494273352
5,25.992668457894364
6,37.18745548202224
7,36.88606196885024
8,39.947422600373926
9,40.08315470812927
