Exposure per eff online,Priority 3
month,Priority
1,370.2498658832546
2,380.8195032842318
3,266.48405240174674
4,223.4083839499356
5,212.57419011586663
6,252.94126821178972
7,235.26443742922828
8,226.58459678996107
9,246.2453248216297
