Asp,Priority 3
month,Priority
1,216.25389961840972
2,191.91752963110463
3,250.30724487219945
4,239.6347630440316
5,238.14254825708832
6,220.47807549293847
7,216.15943702258525
8,216.1617433532972
9,214.14570538728543
