Active rs,Priority 0
month,Priority
1,113.25806451612904
2,154.0
3,205.8709677419355
4,199.06666666666663
5,189.51612903225808
6,187.16666666666663
7,168.93548387096774
8,176.6451612903226
9,199.8333333333333

Aop,Priority 0
month,Priority
1,41605.43785077583
2,41629.62996469549
3,42800.7785500482
4,40096.65467409304
5,39308.84307198245
6,41822.21047017314
7,39159.94123887274
8,40330.64813271996
9,41255.364339059

Asp,Priority 0
month,Priority
1,25891.72045229449
2,25150.20807590468
3,25976.447516615088
4,25151.35817150885
5,25527.18340252213
6,25846.831541806845
7,24897.098980674324
8,24218.747962473284
9,24356.30657206871

B2c gmv,Priority 0
month,Priority
1,0.0899243795002805
2,0.0934014146085216
3,0.0765046877841127
4,0.0817798298416682
5,0.0686639106323964
6,0.0649019386257823
7,0.066013966255944
8,0.0912571478512809
9,0.0936131394457434

B2c per order,Priority 0
month,Priority
1,3741.343182568504
2,3888.2663283318634
3,3274.4601998883877
4,3279.0975964674594
5,2699.0988877575
6,2714.3425371297285
7,2585.1030395276966
8,3680.459919585612
9,3862.044174757282

B2c total burn,Priority 0
month,Priority
1,45330114.0
2,52864869.0
3,64542885.0
4,65349136.0
5,68918791.0
6,66159385.0
7,56047619.0
8,101606457.0
9,103425543.0

Bad rating rate,Priority 0
month,Priority
1,0.0429184549356223
2,0.0383936451897616
3,0.0414996702348942
4,0.0342716644086507
5,0.0296075820474661
6,0.0416837613850824
7,0.0323785803237858
8,0.0362589198391712
9,0.0362210604929051

B cancel order cnt,Priority 0
month,Priority
1,555
2,615
3,1024
4,762
5,803
6,825
7,795
8,777
9,798

B cancel rate,Priority 0
month,Priority
1,0.0422535211267605
2,0.0416159155501421
3,0.0472739024052444
4,0.0349381017881705
5,0.0291110788863109
6,0.0310910118711136
7,0.0337536619538912
8,0.026211921870256
9,0.027500172306844

B p1,Priority 0
month,Priority
1,0.0767414586433788
2,0.0666840108609987
3,0.0626010983651238
4,0.0674937605974585
5,0.0699485794015274
6,0.0675737401440342
7,0.0656213776305595
8,0.0728125272182362
9,0.0701066602806194

B p1p2,Priority 0
month,Priority
1,0.0058875528966545
2,0.0061945271840134
3,0.0053206452509197
4,0.0059557875618383
5,0.007001691803855
6,0.0069377430210737
7,0.0070974523935517
8,0.0075365552284851
9,0.0066166139036313

B p2,Priority 0
month,Priority
1,0.0767193248699411
2,0.0928937402539541
3,0.0849928418170375
4,0.0882420465109277
5,0.1000976983916013
6,0.1026692174546779
7,0.1081576256065452
8,0.1035062992099747
9,0.0943792483787795

Click pay user cnt app,Priority 0
month,Priority
1,13700
2,15429
3,23094
4,23446
5,28995
6,28175
7,24853
8,31064
9,30199

Complete orders,Priority 0
month,Priority
1,12116
2,13596
3,19711
4,19929
5,25534
6,24374
7,21681
8,27607
9,26780

Daily online hours,Priority 0
month,Priority
1,1833.3023118279607
2,2496.2318678161
3,3056.9496953404923
4,2873.053768518512
5,2648.697482078844
6,2411.5254351851763
7,2096.792616487453
8,2205.083315412181
9,2452.019962962954

Daily orders,Priority 0
month,Priority
1,390.8387096774193
2,468.82758620689657
3,635.8387096774194
4,664.3
5,823.6774193548387
6,812.4666666666667
7,699.3870967741935
8,890.5483870967741
9,892.6666666666666

Eff online rs,Priority 0
month,Priority
1,259
2,342
3,421
4,389
5,355
6,320
7,281
8,293
9,330

Exposure per eff online,Priority 0
month,Priority
1,289.781195516812
2,251.13399879007864
3,332.5251666283613
4,336.49670912043763
5,375.988923188669
6,422.7689985425776
7,400.787341192629
8,453.2413679349021
9,459.8606549118388

Exposure uv,Priority 0
month,Priority
1,2326943
2,2490747
3,4340451
4,3936675
5,4141142
6,4061119
7,3501679
8,4121777
9,4564117

Gmv,Priority 0
month,Priority
1,504091485.0
2,565996449.0
3,843646146.0
4,799086231.0
5,1003711999.0
6,1019374558.0
7,849026686.0
8,1113408203.0
9,1104818657.0

Healthy stores,Priority 0
month,Priority
1,201.4516129032258
2,274.6896551724138
3,342.35483870967744
4,319.6666666666667
5,286.5806451612903
6,258.06666666666666
7,232.4516129032258
8,243.9032258064516
9,273.2

Imperfect orders,Priority 0
month,Priority
1,492.0
2,532.0
3,834.0
4,687.0
5,747.0
6,993.0
7,759.0
8,1053.0
9,908.0

Imperfect order rate,Priority 0
month,Priority
1,0.0406074612083195
2,0.03912915563401
3,0.0423113997260412
4,0.0344723769381303
5,0.0292551108326153
6,0.0407401329285304
7,0.0350076103500761
8,0.0381425000905567
9,0.0339058999253174

Orders per eff online,Priority 0
month,Priority
1,1.5088418430884185
2,1.3708408953418028
3,1.5100743124186011
4,1.7034789298230617
5,2.318322135463955
6,2.537372475536124
7,2.481515394300103
8,3.035737849131295
9,2.69823677581864

P2c burn per order,Priority 0
month,Priority
1,5639.438428524266
2,5273.296263606943
3,4843.527471969966
4,4703.241708063626
5,4091.282290279627
6,4343.686428161155
7,3940.692910843596
8,4085.938457637556
9,4407.684876773712

P2c gmv,Priority 0
month,Priority
1,0.1355457055577917
2,0.1266717063802638
3,0.1131644712094731
4,0.117297608648196
5,0.1040804554534372
6,0.1038607567445292
7,0.1006307156286486
8,0.1013110040828395
9,0.1068390728669601

Pay order cnt,Priority 0
month,Priority
1,13135
2,14778
3,21661
4,21810
5,27584
6,26535
7,23553
8,29643
9,29018

Pay success user cnt app,Priority 0
month,Priority
1,12771
2,14446
3,21231
4,21317
5,26975
6,26008
7,23044
8,29045
9,28396

Realpay price,Priority 0
month,Priority
1,313704085.0
2,341942229.0
3,512021757.0
4,501241417.0
