Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.437339472,0.4443422769851753
2,0.425077127,0.4402682893951568
3,0.421500959,0.4363352960234524
4,0.425425771,0.4394930256909583
5,0.415521683,0.4290954071575635
6,0.413121525,0.4256089639985203
