Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,5213.580931899641,3367.401003584227
2,5160.888572796935,3697.0612931034407
3,5255.907795698925,3747.982419354828
4,5368.987962962963,3859.887805555559
5,5339.300681003584,3892.683154121857
6,5277.300388888889,3882.948712962963
