Ted,Old_2_vs_New_1
month,Old priority,New priority
1,5121482127.0,3716355741.0
2,4451090606.0,3690637067.0
3,5328856956.0,4434917276.0
4,5462822459.0,4500605156.0
5,6047416567.0,5047044289.0
6,6077873431.0,5030500889.0
