B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.012768491196636,0.0135253499375109
2,0.0121600633489582,0.0127423880492859
3,0.0119554992405163,0.0125704400983434
4,0.01227245194578,0.0129067159922171
5,0.0119015455426301,0.0124952435665293
6,0.0122852871792956,0.0128173464898213
