Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,13.58549361269977,15.144508670520231
2,13.420550970591654,15.24427798585102
3,14.53232204116638,16.580660050773137
4,15.119739696312363,16.995043370508053
5,16.752184273232725,18.85245412501865
6,17.462589928057554,19.52234398072589
