B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,463202253.0,337072501.0
2,400459113.0,324040420.0
3,478000906.0,391021284.0
4,577376046.0,456752067.0
5,652572621.0,511663095.0
6,608741166.0,478896371.0
