B2c gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.0395543,0.0403017291781453
2,0.03824366,0.0386558523144774
3,0.03780883,0.0384711544968196
4,0.04496405,0.0446027458438145
5,0.04483866,0.0435011605812607
6,0.04137699,0.0405173545977602

B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,1822.404023275669,1864.5453092156208
2,1734.234879652165,1769.1658659095872
3,1763.092805635985,1814.2145203496464
4,2070.873310665404,2081.4439801312437
5,2062.720658100612,2024.4962925740688
6,1929.149406272877,1906.4801348758328

B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,463202253.0,337072501.0
2,400459113.0,324040420.0
3,478000906.0,391021284.0
4,577376046.0,456752067.0
5,652572621.0,511663095.0
6,608741166.0,478896371.0

Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0298067049348666,0.0279732271268945
2,0.0270317087746953,0.0269927931862852
3,0.0286631134389465,0.0286917951858656
4,0.0290379042208258,0.0294750273423259
5,0.0288053356091855,0.0287374968346416
6,0.0282428402561884,0.0280659569894185

B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.010632865426733,0.0096707884674782
2,0.0087907688586596,0.0075903627150427
3,0.008814527358964,0.0075095539699083
4,0.0081611990737415,0.0072044479635253
5,0.0069308399669354,0.0058809245572232
6,0.0066020606431704,0.0059548074688448

B p1p2,Old_2_vs_New_1
month,Old priority,New priority
1,0.012768491196636,0.0135253499375109
2,0.0121600633489582,0.0127423880492859
3,0.0119554992405163,0.0125704400983434
4,0.01227245194578,0.0129067159922171
5,0.0119015455426301,0.0124952435665293
6,0.0122852871792956,0.0128173464898213

Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,5213.580931899641,3367.401003584227
2,5160.888572796935,3697.0612931034407
3,5255.907795698925,3747.982419354828
4,5368.987962962963,3859.887805555559
5,5339.300681003584,3892.683154121857
6,5277.300388888889,3882.948712962963

Daily orders,Old_2_vs_New_1
month,Old priority,New priority
1,8199.064516129032,5831.612903225807
2,7962.551724137931,6315.862068965517
3,8745.645161290322,6952.645161290323
4,9293.6,7314.666666666667
5,10205.32258064516,8152.774193548387
6,10518.3,8373.133333333333

Exposure uv,Old_2_vs_New_1
month,Old priority,New priority
1,21634741,14501732
2,20554087,15533666
3,24694410,18655035
4,24825031,18573741
5,28836927,21946591
6,27841840,21233022

Healthy stores,Old_2_vs_New_1
month,Old priority,New priority
1,558.2258064516129,354.16129032258067
2,558.2758620689655,390.2068965517241
3,565.0,392.7096774193548
4,581.7333333333333,406.8333333333333
5,579.0,408.2903225806452
6,571.2333333333333,404.1333333333333

Imperfect orders,Old_2_vs_New_1
month,Old priority,New priority
1,7474.0,4998.0
2,6204.0,4843.0
3,7590.0,6006.0
4,7589.0,6055.0
5,8325.0,6569.0
6,8192.0,6433.0

Orders per eff online,Old_2_vs_New_1
month,Old priority,New priority
1,13.58549361269977,15.144508670520231
2,13.420550970591654,15.24427798585102
3,14.53232204116638,16.580660050773137
4,15.119739696312363,16.995043370508053
5,16.752184273232725,18.85245412501865
6,17.462589928057554,19.52234398072589

R burn,Old_2_vs_New_1
month,Old priority,New priority
1,3317179171.0,2420905121.0
2,2866749780.0,2428747825.0
3,3508495874.0,2971329969.0
4,3585542997.0,3008610172.0
5,4077733684.0,3470079969.0
6,4110618536.0,3455672012.0

R burn gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.283264366,0.2894530472318988
2,0.273773299,0.2897333525006179
3,0.277514369,0.2923382919954538
4,0.279229721,0.2937967543884835
5,0.28018357,0.2950232436859363
6,0.279404469,0.2923694911101331

R burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,13050.974229947557,13391.443306781724
2,12414.794165793324,13260.2523749727
3,12940.987676816112,13786.026989031792
4,12860.258661874836,13710.39998177178
5,12889.33252414142,13730.058119935426
6,13026.878665437063,13756.98468912474

Ted,Old_2_vs_New_1
month,Old priority,New priority
1,5121482127.0,3716355741.0
2,4451090606.0,3690637067.0
3,5328856956.0,4434917276.0
4,5462822459.0,4500605156.0
5,6047416567.0,5047044289.0
6,6077873431.0,5030500889.0

Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.437339472,0.4443422769851753
2,0.425077127,0.4402682893951568
3,0.421500959,0.4363352960234524
4,0.425425771,0.4394930256909583
5,0.415521683,0.4290954071575635
6,0.413121525,0.4256089639985203

