B2c per order,Old_2_vs_New_1
month,Old priority,New priority
1,1822.404023275669,1864.5453092156208
2,1734.234879652165,1769.1658659095872
3,1763.092805635985,1814.2145203496464
4,2070.873310665404,2081.4439801312437
5,2062.720658100612,2024.4962925740688
6,1929.149406272877,1906.4801348758328
