Bad rating rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.0298067049348666,0.0279732271268945
2,0.0270317087746953,0.0269927931862852
3,0.0286631134389465,0.0286917951858656
4,0.0290379042208258,0.0294750273423259
5,0.0288053356091855,0.0287374968346416
6,0.0282428402561884,0.0280659569894185
