R burn,Old_2_vs_New_1
month,Old priority,New priority
1,3317179171.0,2420905121.0
2,2866749780.0,2428747825.0
3,3508495874.0,2971329969.0
4,3585542997.0,3008610172.0
5,4077733684.0,3470079969.0
6,4110618536.0,3455672012.0
