Click pay user cnt app,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,999,513,35247,16313,11251,6166
2,989,160,35037,14029,9725,8106
3,1536,35186,15709,686,10635,7757
4,1323,38056,16767,426,10173,6988
5,1930,41039,16289,2242,9208,5797
6,2252,38387,18287,2940,8127,5475
7,2269,41270,19273,3848,5071,4956
8,2267,43482,18512,4226,6590,3679
9,2420,41554,18196,4093,5794,3896
