Imperfect orders,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,46.0,17.0,712.0,341.0,265.0,179.0
2,33.0,4.0,724.0,295.0,207.0,210.0
3,39.0,712.0,355.0,14.0,230.0,192.0
4,32.0,731.0,376.0,14.0,193.0,190.0
5,49.0,773.0,351.0,38.0,196.0,139.0
6,65.0,665.0,418.0,74.0,165.0,112.0
7,53.0,729.0,383.0,81.0,93.0,114.0
8,61.0,785.0,411.0,81.0,148.0,81.0
9,91.0,741.0,379.0,94.0,128.0,106.0
