Pay success user cnt app,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,910,476,33155,15035,10309,5494
2,930,149,33076,12849,8968,7259
3,1459,33294,14339,646,9830,6958
4,1254,36084,15608,411,9294,6272
5,1832,38776,15164,2016,8379,5233
6,2133,36268,16857,2655,7466,4919
7,2144,39093,17800,3383,4695,4482
8,2148,41117,17202,3736,6093,3285
9,2288,39503,17258,3821,5438,3590
