B cancel order cnt,Priority 0,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
month,New Rs,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5
1,47,9,347,493,375,478
2,40,2,350,445,256,528
3,75,328,506,23,269,588
4,67,248,494,14,222,503
5,93,281,381,121,221,416
6,117,268,444,125,190,428
7,104,313,560,158,163,371
8,65,333,467,174,196,306
9,66,291,448,160,137,293
