B cancel rate,priority_5
month,Old priority,New priority
1,0.08442989634,0.08834891962
2,0.08430446194,0.09000651042
3,0.08788217567,0.1004232524
4,0.08717371421,0.08793354261
5,0.07618249014,0.07587171419
