R burn gmv,Priority 0
month,Priority
1,0.1642460519848082
2,0.1659856421820612
3,0.1176017781134843
4,0.0731587591784089
5,0.0734597935081927
6,0.078184864055611
7,0.0837025837767203
8,0.1060800412076168
9,0.1174211328262955
