B p2,Priority 0
month,Priority
1,0.0607036519414231
2,0.0834810500548662
3,0.0860118714301713
4,0.0800120955548835
5,0.0994742810019585
6,0.1045788056097334
7,0.1120549162921625
8,0.0988531810055378
9,0.091496842980831
