P2c burn per order,Priority 0
month,Priority
1,415.6489746682751
2,508.9548611111112
3,399.6342525399129
4,445.6047297297297
5,504.7918840579711
6,555.4797365754813
7,447.4778936910085
8,409.4836852207293
9,384.0490240581025
