Tri per order,Priority 0
month,Priority
1,1743.6103739445114
2,2003.7372685185185
3,1977.718432510885
4,1954.4011824324325
5,1975.619710144928
6,1906.3287740628168
7,1906.7521112767013
8,1835.78358925144
9,1815.7054017249204
