Daily online hours,Priority 0
month,Priority
1,264.71749999999963
2,325.06894636015306
3,371.30600358422976
4,333.8988333333328
5,275.11046594982093
6,257.61338888888906
7,294.281370967742
8,358.7879301075266
9,335.6912222222223
