Ted per order,Priority 0
month,Priority
1,2166.5633293124247
2,3041.4247685185182
3,2536.1545718432512
4,2352.930743243244
5,2390.8510144927536
6,2242.9918946301923
7,2239.823646299056
8,2162.260076775432
9,2171.0789832047208
