Daily online hours,priority_4
month,Old priority,New priority
1,64439.38406810037,48095.68097670229
2,67847.99509578543,51065.37715517239
3,68070.0554749104,50727.637616487526
4,70935.72880555554,52807.316509259246
5,68571.43017921146,52142.15683691761
6,66664.44821296298,51587.51684259256
