B2c total burn,priority_4
month,Old priority,New priority
1,5998619.9,3240869.55
2,6086696.89,3798784.05
3,6886814.79,4286088.22
4,4234857.29,1365973.67
5,3028521.6,825070.37
6,3062339.98,373489.0
