Orders per eff online,priority_4
month,Old priority,New priority
1,3.189231500075576,3.096456093849703
2,2.9371854230590166,2.851808211277829
3,3.102738103005972,3.1071098233162187
4,2.8596170381187647,2.9331778967269178
5,3.066914749204763,3.100333293979821
6,3.119765218200961,3.038691644477656
