B2c gmv,Old_1_vs_New_Rs,,,B2c gmv,Old_2_vs_New_1,,,B2c gmv,Old_3_vs_New_2,,,B2c gmv,priority_4,,,B2c gmv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
2,2.93488541287741%,2.93488541287741%,,2,0.9297911968094499%,1.3063840276066%,,2,4.66541715211995%,0.9366939453742699%,,2,2.93951874671797%,3.08458157969811%,,2,7.4679611065654%,7.17151405645897%
3,2.93373691618952%,2.93373691618952%,,3,0.9728004238816699%,0.85664522304683%,,3,3.4837919061652%,2.47737359633742%,,3,3.0012217977992197%,2.81536056361733%,,3,6.89514601485678%,7.84460120488131%
4,2.48382185001903%,2.48382185001903%,,4,0.98472430864407%,0.84659911450613%,,4,5.768733293093041%,2.15848433057663%,,4,2.97715300331109%,2.77922351094727%,,4,7.7625136663973%,7.5718631650835%
5,2.6271022040499603%,2.6271022040499603%,,5,1.05945140828891%,0.8751373374056299%,,5,5.734627831715209%,2.2655453805603%,,5,3.1216040303276698%,2.91921062747427%,,5,8.41507136575796%,6.8638816709974%
6,2.7383798140770197%,2.7383798140770197%,,6,1.00000174451872%,0.814948280192%,,6,6.3709677419354795%,2.1786667611877997%,,6,3.13151794766436%,2.91487578300642%,,6,8.40580901654266%,7.00696334842309%
,,,
B p1p2,Old_1_vs_New_Rs,,,B p1p2,Old_2_vs_New_1,,,B p1p2,Old_3_vs_New_2,,,B p1p2,priority_4,,,B p1p2,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,0.78532555192652%,0.78532555192652%,,1,1.53210140935499%,0.8853873993135799%,,1,0.42762993297019003%,1.54134006041678%,,1,0.8121189504351801%,0.81597524914343%,,1,0.1909210172858%,0.21536430612960003%
2,0.74832994696599%,0.74832994696599%,,2,1.48238577701278%,0.8410500552518199%,,2,0.6056637987350599%,1.47764176667053%,,2,0.81870163706476%,0.70981521649476%,,2,0.21599665864437%,0.23391858077631%
3,0.80196255598499%,0.80196255598499%,,3,1.6188773027972498%,1.75117167183182%,,3,0.71564674037189%,1.33675131208872%,,3,0.84701165757181%,0.7626901137545901%,,3,0.22205714029488%,0.18696997082989%
4,0.9016595935640701%,0.9016595935640701%,,4,1.64767246756%,1.8044800649354102%,,4,0.35317688709333%,1.32427068536301%,,4,0.84923878380457%,0.76721190234334%,,4,0.18740938826079%,0.19278789972295998%
5,0.84651117281851%,0.84651117281851%,,5,1.62019259677696%,1.77226431834436%,,5,0.34252077874298004%,1.24102945073693%,,5,0.83570944786962%,0.7890239325975301%,,5,0.17833480217301%,0.22104696946617003%
6,0.8137849275671899%,0.8137849275671899%,,6,1.6183899392230998%,1.7706294731282097%,,6,0.33784575415668%,1.21690226720031%,,6,0.8133055525805699%,0.76778804928788%,,6,0.15610805126553%,0.19302064441834%
,,,
Daily online hours,Old_1_vs_New_Rs,,,Daily online hours,Old_2_vs_New_1,,,Daily online hours,Old_3_vs_New_2,,,Daily online hours,priority_4,,,Daily online hours,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,606245.1657706094%,606245.1657706092%,,1,3787991.0743727605%,80795.04480286739%,,1,129310.74551971328%,3611171.315412186%,,1,7160788.30107527%,4722370.366666667%,,1,6567299.448028675%,5313180.093333334%
2,696130.6570881227%,696130.6570881224%,,2,3847005.9779693475%,75183.83333333334%,,2,154847.06896551725%,3876787.9214559393%,,2,7298384.1159003815%,5730973.39559387%,,2,6889459.820881227%,6779364.823754789%
3,819226.3503584228%,819226.3503584228%,,3,3715617.9390681004%,2647681.07437276%,,3,237132.52419354845%,2223525.3458781363%,,3,6983553.870967742%,5989197.964157705%,,3,6691052.939964158%,6034195.568996416%
4,869225.1055555554%,869225.1055555554%,,4,4254162.362962963%,2761331.6759259263%,,4,206170.56388888886%,2613856.129629629%,,4,7017283.463888889%,6224421.928703704%,,4,6378133.029629629%,5696318.483333333%
5,879766.9919354839%,879766.9919354839%,,5,4184723.06451613%,2624097.435483871%,,5,279472.4112903225%,2716925.1478494625%,,5,6794774.681899643%,5641335.771505376%,,5,6496220.565412186%,5528617.531362008%
6,981890.7379629631%,981890.7379629631%,,6,4437364.36111111%,2720142.583333334%,,6,284850.37407407415%,3194679.417592592%,,6,6812211.9953703685%,5205342.063888889%,,6,6085701.0583333345%,5203981.936111111%
,,,
Daily orders,Old_1_vs_New_Rs,,,Daily orders,Old_2_vs_New_1,,,Daily orders,Old_3_vs_New_2,,,Daily orders,priority_4,,,Daily orders,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,219874.19354838706%,219874.19354838706%,,1,6200138.70967742%,33203.22580645161%,,1,39587.096774193546%,5971158.064516129%,,1,3137022.580645161%,2137476.0%,,1,588116.1290322581%,552300.0%
2,222779.3103448276%,222779.3103448276%,,2,5960755.172413792%,27082.758620689656%,,2,61975.862068965514%,6006562.068965517%,,2,3044748.275862069%,2032462.068965517%,,2,612234.4827586208%,635175.8620689654%
3,287141.93548387097%,287141.93548387097%,,3,6239151.612903226%,5223929.032258064%,,3,102467.74193548388%,1707845.1612903227%,,3,3159454.838709677%,2583945.161290323%,,3,705222.5806451612%,556622.5806451612%
4,332836.6666666667%,332836.6666666667%,,4,7002789.999999999%,5462373.333333333%,,4,34596.666666666664%,1965526.6666666663%,,4,2786026.666666666%,2351236.6666666665%,,4,500726.6666666666%,479520.0%
5,408322.5806451613%,408322.5806451613%,,5,7299861.29032258%,5472200.0%,,5,44719.35483870968%,2088829.0322580645%,,5,2903616.129032258%,2441896.7741935486%,,5,544467.7419354839%,652870.9677419355%
6,472996.6666666666%,472996.6666666666%,,6,7385370.0%,5445053.333333333%,,6,47476.666666666664%,2320140.0%,,6,2797043.333333333%,2172086.6666666665%,,6,496583.3333333333%,593766.6666666667%
,,,
Eff online rs,Old_1_vs_New_Rs,,,Eff online rs,Old_2_vs_New_1,,,Eff online rs,Old_3_vs_New_2,,,Eff online rs,priority_4,,,Eff online rs,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,85361.29032258065%,85361.29032258065%,,1,486851.6129032259%,10661.290322580644%,,1,20348.387096774193%,464319.35483870964%,,1,999409.6774193549%,679608.0%,,1,931854.8387096777%,769144.0%
2,98393.10344827586%,98393.10344827586%,,2,492568.9655172414%,10203.448275862069%,,2,24020.689655172413%,496437.9310344828%,,2,1017296.5517241381%,774496.551724138%,,2,974779.3103448276%,961175.8620689656%
3,115977.41935483871%,115977.41935483871%,,3,471277.4193548387%,328629.03225806454%,,3,34787.096774193546%,337277.41935483884%,,3,970245.1612903223%,801738.7096774193%,,3,940861.2903225808%,856512.9032258064%
4,123880.0%,123880.0%,,4,536950.0%,341580.0%,,4,29450.0%,383086.6666666667%,,4,973516.6666666666%,833863.3333333334%,,4,902479.9999999999%,811426.6666666666%
5,126035.48387096771%,126035.48387096771%,,5,538703.2258064516%,326209.67741935485%,,5,39225.8064516129%,403145.1612903226%,,5,946525.8064516129%,766954.8387096775%,,5,919238.7096774192%,783680.6451612903%
6,142316.6666666667%,142316.6666666667%,,6,569983.3333333333%,339883.3333333333%,,6,40593.33333333333%,465553.3333333334%,,6,952676.6666666666%,710703.3333333334%,,6,864476.6666666666%,742743.3333333334%
,,,
Exposure uv,Old_1_vs_New_Rs,,,Exposure uv,Old_2_vs_New_1,,,Exposure uv,Old_3_vs_New_2,,,Exposure uv,priority_4,,,Exposure uv,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,9380823,9380823,,1,132426678,1240361,,1,3377453,126712466,,1,131250970,72073142,,1,112683770,75813863
2,9522003,9522003,,2,123371664,998157,,2,3413610,124721840,,2,118461715,91341378,,2,97040853,92610856
3,12114406,12114406,,3,125991389,97319699,,3,4986259,42961843,,3,126405226,114335165,,3,114006692,108690716
4,11957506,11957506,,4,134272135,95371073,,4,3401978,47946693,,4,107467301,99944487,,4,93854423,87384115
5,16209473,16209473,,5,147996973,101146820,,5,4661615,56578754,,5,118597678,105132299,,5,113257198,106307723
6,18926991,18926991,,6,144926939,97452913,,6,4993107,61970219,,6,113828929,93053936,,6,114166437,107603516
,,,
Healthy stores,Old_1_vs_New_Rs,,,Healthy stores,Old_2_vs_New_1,,,Healthy stores,Old_3_vs_New_2,,,Healthy stores,priority_4,,,Healthy stores,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,63703.225806451606%,63703.225806451606%,,1,442803.22580645164%,9561.290322580644%,,1,15412.90322580645%,423138.70967741933%,,1,831058.064516129%,548768.0%,,1,681416.1290322581%,543936.0%
2,71562.06896551725%,71562.06896551725%,,2,450437.9310344828%,8955.172413793103%,,2,18751.724137931036%,453675.8620689655%,,2,853782.7586206896%,647920.6896551724%,,2,714051.724137931%,702134.4827586208%
3,87312.90322580645%,87312.90322580645%,,3,432409.67741935485%,302877.41935483884%,,3,27916.129032258068%,288816.12903225806%,,3,818448.3870967741%,675577.4193548388%,,3,694216.1290322581%,626541.9354838709%
4,95660.0%,95660.0%,,4,493550.0%,316970.0%,,4,23513.333333333332%,332020.0%,,4,822310.0%,706676.6666666666%,,4,669990.0%,593093.3333333334%
5,95648.3870967742%,95648.3870967742%,,5,488793.5483870968%,301083.87096774194%,,5,32009.67741935484%,346487.09677419363%,,5,798548.3870967741%,644822.5806451612%,,5,683641.9354838709%,573670.9677419355%
6,108180.0%,108180.0%,,6,519830.0%,313650.0%,,6,32753.333333333336%,401623.3333333333%,,6,801126.6666666666%,595633.3333333333%,,6,641200.0%,541056.6666666666%
,,,
Imperfect orders,Old_1_vs_New_Rs,,,Imperfect orders,Old_2_vs_New_1,,,Imperfect orders,Old_3_vs_New_2,,,Imperfect orders,priority_4,,,Imperfect orders,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,1906,190600.0%,,1,37133,22900.0%,,1,328,3566100.0%,,1,21349,1144800.0%,,1,4707,352900.0%
2,1847,184700.0%,,2,32875,22200.0%,,2,463,3328300.0%,,2,18585,1232600.0%,,2,4584,466700.0%
3,2408,240800.0%,,3,37823,3210200.0%,,3,854,1124000.0%,,3,21661,1714600.0%,,3,5711,460200.0%
4,2698,269800.0%,,4,39982,3118800.0%,,4,285,1194900.0%,,4,17231,1397200.0%,,4,3696,357200.0%
5,3456,345600.0%,,5,44230,3346800.0%,,5,366,1332900.0%,,5,19475,1600700.0%,,5,4382,460700.0%
6,3542,354200.0%,,6,40662,2985700.0%,,6,372,1388300.0%,,6,17240,1296300.0%,,6,3749,400100.0%
,,,
Imperfect order rate,Old_1_vs_New_Rs,,,Imperfect order rate,Old_2_vs_New_1,,,Imperfect order rate,Old_3_vs_New_2,,,Imperfect order rate,priority_4,,,Imperfect order rate,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,2.79632047651883%,2.79632047651883%,,1,1.93195469612282%,2.22481297969493%,,1,2.67275097783572%,1.92651881976749%,,1,2.19532184308729%,2.14233984381579%,,1,2.58178108339366%,2.55585732391816%
2,2.85886759743677%,2.85886759743677%,,2,1.9018071651416502%,2.82658517952635%,,2,2.57608635174984%,1.9107263722492%,,2,2.1048113371016397%,2.09122959413926%,,2,2.58183702435397%,2.53364531137181%
3,2.70519244163839%,2.70519244163839%,,3,1.95554916740644%,1.9823171040460201%,,3,2.68849362505902%,2.12302996418803%,,3,2.2115901987990902%,2.1405128192324%,,3,2.61230725600245%,2.6670066588236603%
4,2.7020260187679597%,2.7020260187679597%,,4,1.9031462221961999%,1.9032020269577499%,,4,2.74592928027748%,2.0264288791129696%,,4,2.0615978789387%,1.98080159235352%,,4,2.46042418351995%,2.4830385941496997%
5,2.73028914520461%,2.73028914520461%,,5,1.95452233515705%,1.97290468774132%,,5,2.6401211858905%,2.0584151948074%,,5,2.16359800515708%,2.11456456377115%,,5,2.59620226915898%,2.27629823607885%
6,2.4961416218578%,2.4961416218578%,,6,1.83524996039467%,1.82777517942891%,,6,2.61180930983641%,1.99456354645265%,,6,2.0545504598307898%,1.98933130353914%,,6,2.5165296190636%,2.2461123898276503%
,,,
Orders per eff online,Old_1_vs_New_Rs,,,Orders per eff online,Old_2_vs_New_1,,,Orders per eff online,Old_3_vs_New_2,,,Orders per eff online,priority_4,,,Orders per eff online,priority_5
month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority,,month,Old priority,New priority
1,257.5806817322954%,257.5806817322954%,,1,1273.517134451777%,311.4372163388805%,,1,194.54660748256185%,1286.0024037960525%,,1,313.8875529748206%,314.51601511459546%,,1,63.112418866291655%,71.80709984086205%
2,226.41760706525548%,226.41760706525548%,,2,1210.1361615737335%,265.42750929368026%,,2,258.01033591731266%,1209.9321372258921%,,2,299.2980041760447%,262.42364339014443%,,2,62.80749665706826%,66.08320986148432%
3,247.58434622980002%,247.58434622980002%,,3,1323.8808728507283%,1589.6127607361964%,,3,294.5567507418398%,506.362140862313%,,3,325.6346915977339%,322.2926784126435%,,3,74.95500005142851%,64.98706307269913%
4,268.6766763534604%,268.6766763534604%,,4,1304.17916007077%,1599.1490524425708%,,4,117.475947934352%,513.0762403633643%,,4,286.1817123487014%,281.96906767296%,,4,55.48340868126348%,59.09591337068867%
5,323.9743031916255%,323.9743031916255%,,5,1355.0803003628787%,1677.5100123609395%,,5,114.00493421052632%,518.133226645329%,,5,306.7656591337421%,318.38860007739027%,,5,59.23028873822658%,83.3082929600191%
