Asp,Priority 5
month,Priority
1,28.994024640657084
2,29.846698065812607
3,30.36142384483742
4,29.31879918161788
5,29.372182926829268
6,29.03941775014132
7,29.47942586479116
8,30.58008679085521
9,32.41272997032641
