P2c burn per order,Priority 5
month,Priority
1,4.329482919544521
2,4.174802813363477
3,3.439655447803765
4,3.174542020774316
5,3.8301631097560978
6,4.176164499717354
7,4.566263815128464
8,4.299502540220152
9,4.155501978239367
