Exposure per eff online,Priority 5
month,Priority
1,217.7978277308036
2,271.5989126075137
3,281.04285471826205
4,215.06247178839035
5,187.5063862786242
6,203.7027167004096
7,262.59676195294713
8,197.0473095184264
9,184.97560200775143
