R burn per order,Priority 5
month,Priority
1,6.246615643083816
2,5.098752825923135
3,4.882023958927553
4,5.211650928548946
5,4.64960975609756
6,4.080555398530243
7,4.441824314626095
8,4.110656223539372
9,4.130254698318497
