P2c gmv,Priority 5
month,Priority
1,0.1046502572145743
2,0.101734091096136
3,0.0835938195998115
4,0.0832117021385872
5,0.0992609591069675
6,0.1113857739030727
7,0.1185057716561382
8,0.1102225180661582
9,0.1020855960585435
