R burn gmv,Priority 5
month,Priority
1,0.1509903020562275
2,0.1242494574375442
3,0.11864764837569
4,0.136608790143193
5,0.1204974071959945
6,0.108835708231899
7,0.1152762606973802
8,0.1053812332064895
9,0.101465362057194
