Daily online hours,Priority 5
month,Priority
1,4107.1173111111175
2,5727.454224137935
3,5520.461227598548
4,5342.989490740718
5,5159.644005376327
6,5208.569962962969
7,4654.288028673837
8,4090.253378136216
9,3796.4272685185288
