B p1p2,Priority 5
month,Priority
1,0.0020919703122016
2,0.001600483590859
3,0.0016099962286472
4,0.0016329121203636
5,0.002017265476467
6,0.0020573487406048
7,0.0016962655761551
8,0.001689824422911
9,0.001660752418739
