P2c gmv,priority_5
month,Old priority,New priority
1,0.05431011,0.05613405
2,0.03955918,0.03946043
3,0.04076252,0.0399741
4,0.04347113,0.04437011
5,0.04223892,0.04350772
6,0.04375823,0.04626982
