P2c burn per order,Priority 0
month,Priority
1,3.87527075226978
2,4.002362926498048
3,3.338489711934157
4,3.0169757842597686
5,3.5180731969860064
6,3.4957317073170726
7,3.327623476587556
8,2.9503691275167783
9,2.535476049674749
