B2c gmv,Priority 0
month,Priority
1,0.0986747331462616
2,0.1314627040911947
3,0.1112200488130576
4,0.1000306310711299
5,0.0824999540068728
6,0.129424629199436
7,0.0628040155887964
8,0.0804518373071953
9,0.1125720726476779
