Ted per order,Priority 0
month,Priority
1,12.25258430609598
2,13.01067390935325
3,12.172534979423869
4,13.135767749036871
5,12.867466810190168
6,13.446084724005134
7,12.404474021808852
8,13.783552253116012
9,11.86238320520402
