B2c per order,Priority 0
month,Priority
1,3.58545233463035
2,4.858090307248345
3,4.162697530864198
4,3.7572151898734174
5,3.0571546465733763
6,4.730985237483954
7,2.3686401539448365
8,3.0584467881112176
9,3.9489178001182728
