P2c burn per order,Old_2_vs_New_1
month,Old priority,New priority
1,5244.477973966731,4957.641981486115
2,5116.686567300742,5625.489671931956
3,4968.612248075993,4988.53912445915
4,4692.306367552127,4718.438897443794
5,4163.131616517976,4228.612032728468
6,4309.511695482859,4362.892847759103
