Total p2c burn,Old_2_vs_New_1
month,Old priority,New priority
1,1333618304.0,19815695.0
2,1118436050.0,13889334.0
3,1212450698.0,979998511.0
4,1245155110.0,919246266.0
5,1312202433.0,977807332.0
6,1517202378.0,1095932506.0
