Active rs,Priority 2
month,Priority
1,4622.774193548387
2,4927.586206896552
3,3038.709677419354
4,3439.4
5,3593.548387096774
6,4086.233333333333
7,4245.5161290322585
8,4289.354838709677
9,4823.733333333334
