Daily online hours,Priority 2
month,Priority
1,36111.71315412181
2,38767.8792145594
3,22235.25345878128
4,26138.56129629626
5,27169.2514784948
6,31946.79417592606
7,33559.99053763438
8,33999.10196236571
9,39419.78059259253
