Exposure per eff online,Priority 2
month,Priority
1,880.3205941405735
2,866.3224211103934
3,410.897920731474
4,417.1962219167117
5,452.720576115223
6,443.7029699425773
7,440.92172109207706
8,422.8526125316991
9,431.7380607043696
