P2c gmv,Priority 2
month,Priority
1,0.0505809867822934
2,0.0400730003104081
3,0.0391935729844735
4,0.0436263455943136
5,0.0423373275208241
6,0.0429144310451923
7,0.0369064028036465
8,0.0421943997070489
9,0.043829355685793
