Daily orders,Priority 2
month,Priority
1,59711.58064516129
2,60065.62068965517
3,17078.451612903227
4,19655.266666666663
5,20888.290322580644
6,23201.4
7,24653.322580645163
8,23937.1935483871
9,26130.43333333333
