B2c per order,Priority 2
month,Priority
1,8.090965063782406
2,6.113295981463951
3,7.812242969824264
4,11.07441043791486
5,6.829738146237204
6,7.550647144856201
7,7.392144970317421
8,7.297358194091258
9,6.84591959822072
