B cancel rate,Priority 2
month,Priority
1,0.0099292984391266
2,0.0093669394537427
3,0.0247737359633742
4,0.0215848433057663
5,0.022655453805603
6,0.021786667611878
7,0.0197685475600163
8,0.018569123850472
9,0.0191807755324959
