R burn per order,Priority 2
month,Priority
1,38.847597002580684
2,38.94640589630996
3,26.56582596065217
4,30.42303603105529
5,31.477040292678257
6,33.125321517954376
7,36.7035323642825
8,37.75006491450072
9,38.72873417075619
