R burn gmv,Priority 2
month,Priority
1,0.1604092906174039
2,0.1597445749066612
3,0.1099996203093406
4,0.1267881947245473
5,0.1299601155622365
6,0.1358125208476208
7,0.1511751088602253
8,0.1532414953388443
9,0.1556717172193884
