R burn per order,priority_5
month,Old priority,New priority
1,647.5968193196878,776.521526219139
2,602.7270664505673,653.9682949029126
3,1283.060072815534,678.4273162939297
4,695.0534723389945,848.4481970096746
5,706.924217188541,623.593783040812
6,835.4364569961489,646.0151029748284
