P2c gmv,priority_5
month,Old priority,New priority
1,0.05294798,0.05696507
2,0.05043244,0.05040436
3,0.0471872,0.04806722
4,0.05170692,0.05114493
5,0.05529123,0.05497195
6,0.05976722,0.06383213
