B cancel rate,priority_5
month,Old priority,New priority
1,0.0835390411848772,0.085509838998211
2,0.0715734569689944,0.0716417910447761
3,0.0481593145033322,0.0828986324545326
4,0.0762176788935658,0.078778386844166
5,0.0758630908282708,0.0779464118418587
6,0.0762281197063805,0.0850894632206759
